artist,song,year,decade,genre,popularity,danceability,energy,valence,tempo,loudness_norm,hit_formula_score
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,2006,2000s,set(),17,0.847,0.861,0.724,127.894,0.6859373455875086,0.781
Metro Station,Shake It,2007,2000s,"pop, rock",67,0.618,0.955,0.79,150.034,0.8240932898507758,0.7808
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,2002,2000s,set(),66,0.607,0.923,0.868,184.819,0.678772605988734,0.7807
Twista,Overnight Celebrity,2004,2000s,"hip hop, pop, R&B",66,0.828,0.792,0.777,134.199,0.7450835062753237,0.7807
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",2015,2010s,"hip hop, pop",67,0.854,0.766,0.784,118.004,0.7815495602332246,0.7807
Usher,Caught Up,2004,2000s,"hip hop, pop, R&B",61,0.817,0.806,0.805,110.086,0.7860460519814211,0.7805
Nina Sky,Move Ya Body,2004,2000s,"pop, R&B",67,0.87,0.712,0.877,121.057,0.7016997727048128,0.7802
50 Cent,In Da Club,2003,2000s,"hip hop, pop",81,0.899,0.713,0.777,90.051,0.8776558948512699,0.78
Mary J. Blige,Just Fine,2007,2000s,"pop, R&B",64,0.923,0.795,0.588,123.021,0.8352604012254176,0.78
Avril Lavigne,What the Hell,2011,2010s,pop,74,0.578,0.926,0.877,149.976,0.8313568534440162,0.78
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2000,2000s,"hip hop, pop, R&B",36,0.852,0.75,0.934,72.016,0.7590176894950095,0.7798
Ed Sheeran,Sing,2014,2010s,pop,69,0.818,0.67,0.939,119.988,0.7937049115525249,0.7797
Sean Paul,Temperature,2005,2000s,"hip hop, pop",78,0.951,0.6,0.822,125.04,0.782636624172349,0.7796
Bruno Mars,Finesse - Remix; feat. Cardi B,2017,2010s,pop,74,0.704,0.859,0.926,105.115,0.7726554007312976,0.7796
Rizzle Kicks,Down With The Trumpets,2011,2010s,hip hop,59,0.753,0.88,0.794,115.057,0.781944856211088,0.7795
Finger Eleven,Paralyzer,2007,2000s,"rock, metal",73,0.644,0.939,0.861,106.031,0.8413874888823005,0.7794
Finger Eleven,Paralyzer,2007,2000s,"rock, metal",73,0.644,0.939,0.861,106.031,0.8413874888823005,0.7794
Miley Cyrus,See You Again,2007,2000s,pop,0,0.692,0.911,0.801,138.975,0.7617353493428205,0.7793
Justin Bieber,One Time,2009,2000s,pop,71,0.691,0.853,0.762,145.999,0.8887241822314459,0.7793
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,2014,2010s,"pop, rock",66,0.76,0.886,0.78,123.002,0.7489870540567249,0.7793
Alesha Dixon,The Boy Does Nothing,2008,2000s,pop,51,0.632,0.972,0.845,87.0,0.8939124419409034,0.7792
Jimmy Eat World,The Middle,2001,2000s,"rock, pop",78,0.643,0.849,0.903,162.152,0.7454293902559541,0.7786
Unk,Walk It Out,2013,2010s,"hip hop, pop",48,0.794,0.777,0.706,160.022,0.8310109694633856,0.7783
Flipp Dinero,Leave Me Alone,2019,2010s,"hip hop, pop",69,0.792,0.743,0.742,150.024,0.8749876470006918,0.778
Terror Squad,Lean Back,2004,2000s,hip hop,67,0.783,0.916,0.695,95.321,0.8484039924893764,0.7778
Britney Spears,Lucky,2000,2000s,pop,65,0.765,0.791,0.966,95.026,0.7316434430279671,0.7777
JUVENILE,Slow Motion,2003,2000s,"hip hop, pop",64,0.713,0.734,0.89,172.872,0.7718153967783378,0.7776
Pedro Capó,Calma - Remix,2018,2010s,"pop, latin",74,0.826,0.773,0.761,126.899,0.8052179069077972,0.7775
Meck,Thunder in My Heart Again (Radio Edit),2005,2000s,set(),46,0.679,0.922,0.806,129.016,0.7828836841585137,0.7773
Rita Ora,I Will Never Let You Down,2014,2010s,"hip hop, pop, Dance/Electronic",65,0.753,0.801,0.794,128.011,0.8547781401324241,0.7772
Ciara,Love Sex Magic (feat. Justin Timberlake),2009,2000s,"pop, R&B",58,0.893,0.666,0.874,107.011,0.7621800573179167,0.777
